invoiceKey,truthPartNumber,scorerTopPartNumber,agree,scorerScore,scorerBand,scorerMatchedOn
accounting:BT.BIT 35,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 37,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~avans data avans (29d)
accounting:BT.BIT 41,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 42,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~final data final (15d)
accounting:BT.BIT 43,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,15,LOW-ish,data avans (16d)
accounting:BT.BIT 54,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,8,LOW-ish,data avans (84d)
accounting:BT.BIT 63,RED-PEN-S-WB-1,RED-GDPR-2,no,33,MEDIUM-ish,amount~final data final (365d)
accounting:BT.BIT 64,RED-PEN-S-WB-1,RED-GDPR-10,no,45,MEDIUM-ish,amount~final data final (1d)
accounting:BT.BIT 65,RED-PEN-S-WB-1,RED-GDPR-10,no,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 66,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,3,LOW-ish,data avans (175d)
accounting:BT.BIT 78,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,3,LOW-ish,data avans (266d)
accounting:BT.BIT 94,RED-GDPR-5,RED-GDPR-5,yes,45,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 121,RED-GDPR-5,RED-GDPR-5,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 130,RED-GDPR-5,RED-GDPR-2,no,15,LOW-ish,data final (24d)
accounting:BT.BIT 131,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 143,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 174,RED-PEN-B-I-BP-100,RED-PEN-B-I-BP-100,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 194,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 196,RED-PEN-B-I-BP-100,RED-PEN-S-B-3,no,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 203,RED-PEN-B-I-BP-100,RED-PEN-S-B-3,no,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 204,RED-PEN-B-I-BP-100,RED-PEN-S-B-3,no,45,MEDIUM-ish,amount~total data final (0d)
accounting:BT.BIT 240,CYBEREDU-RUN-EX-1,CYBEREDU-RUN-EX-1,yes,48,MEDIUM-ish,amount~final data final (31d) desc~0.43
accounting:BT.BIT 246,RED-PEN-B-I-BP-50,RED-PEN-B-I-BP-50,yes,47,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 256,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 266,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 267,RED-VA-I-S-25,RED-VA-I-S-25,yes,15,LOW-ish,data final (0d)
accounting:BT.BIT 268,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 272,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~avans data avans (18d)
accounting:BT.BIT 274,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,51,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 278,BLUE-IR-50,BLUE-IR-50,yes,37,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 279,RED-PEN-S-G-1,BLUE-MDR-I,no,17,LOW-ish,amount~final data final (332d)
accounting:BT.BIT 280,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 284,RED-PEN-S-WB-1,RED-PEN-S-WB-1,yes,15,LOW-ish,data final (21d)
accounting:BT.BIT 285,RED-PEN-S-G-1,BLUE-MDR-I,no,16,LOW-ish,amount~final data final (288d)
accounting:BT.BIT 286,RED-PEN-S-WB-1,RED-PEN-S-WB-2,no,15,LOW-ish,data avans (14d)
accounting:BT.BIT 288,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 290,RED-PEN-S-G-10,RED-PEN-S-G-10,yes,15,LOW-ish,data avans (0d)
accounting:BT.BIT 291,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,50,MEDIUM-ish,amount~final data final (0d) desc~0.20
accounting:BT.BIT 294,RED-PEN-S-G-1,RED-C-M-MM-16,no,45,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 295,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,38,MEDIUM-ish,amount~final data final (33d)
accounting:BT.BIT 299,RED-PEN-S-G-10,RED-PEN-S-G-10,yes,15,LOW-ish,data final (0d)
accounting:BT.BIT 301,RED-PEN-S-G-1,RED-C-M-MM-16,no,45,MEDIUM-ish,amount~final data final (28d)
accounting:BT.BIT 302,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,38,MEDIUM-ish,amount~final data final (61d)
accounting:BT.BIT 304,RED-PEN-B-I-BP-50,BLUE-MDR-I,no,35,MEDIUM-ish,amount~final data final (365d)
accounting:BT.BIT 306,RED-PEN-S-G-1,RED-C-M-MM-16,no,38,MEDIUM-ish,amount~final data final (59d)
accounting:BT.BIT 307,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,38,MEDIUM-ish,amount~final data final (92d)
accounting:BT.BIT 308,PHISH-P-L-MM-S-200-12,PHISH-P-L-MM-S-200-12,yes,43,MEDIUM-ish,amount~final data final (77d) desc~0.20
accounting:BT.BIT 314,RED-C-M-YY-12,RED-C-M-YY-12,yes,47,MEDIUM-ish,amount~final data final (0d)
accounting:BT.BIT 316,RED-PEN-S-G-1,RED-C-M-MM-16,no,38,MEDIUM-ish,amount~final data final (92d)
accounting:BT.BIT 317,PHISH-P-L-MM-F-4000-12,PHISH-P-L-MM-F-4000-12,yes,33,MEDIUM-ish,amount~final data final (125d)
accounting:BT.BIT 318,RED-VA-I-B-25,RED-VA-I-B-25,yes,45,MEDIUM-ish,amount~final data final (29d)
accounting:BT.BIT 319,RED-VA-I-P-10,RED-VA-I-P-10,yes,32,MEDIUM-ish,amount~avans
