organization,companyType,invoiceCountAllAccounting,trackerActivityCount,dominantPartNumber,dominantShare,monthlyCadenceShare,modalServiceShare,amountTrend,learnedRatioPoints
123formbuilder,SMALL,2,1,RED-VA-I-B-100,1.000,0.000,1.000,MIXED/UNKNOWN,0
accesa it systems,SMALL,4,2,RED-PEN-B-I-B-30,1.000,0.000,0.500,MIXED/UNKNOWN,0
adm romania logistics,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,0.500,MIXED/UNKNOWN,0
alliance healthcare romania,SMALL,1,2,RED-NIS-C-PEN-100,0.500,0.000,1.000,MIXED/UNKNOWN,0
alloga logistics romania,SMALL,1,1,RED-NIS-C-AUDIT-100,1.000,0.000,1.000,MIXED/UNKNOWN,0
altex romania,RECURRENT,12,12,PHISH-P-L-MM-F-4000-12,1.000,1.000,1.000,STABLE,12
amber studio,SMALL,2,1,RED-PEN-B-E-B-15,1.000,0.000,1.000,MIXED/UNKNOWN,0
amethyst radioterapia alba iulia,SMALL,1,2,RED-NIS-C-PEN-200,1.000,0.000,1.000,MIXED/UNKNOWN,0
apa service,SMALL,1,2,RED-NIS-C-PEN-10,0.500,0.000,1.000,MIXED/UNKNOWN,0
apavital,SMALL,3,3,RED-NIS-C-PEN-100,0.333,0.000,0.500,MIXED/UNKNOWN,0
aquila part prod com,SMALL,2,2,RED-PEN-B-I-B-50,0.500,0.000,1.000,MIXED/UNKNOWN,0
art craft design,RECURRENT,16,24,BLUE-MDR-C-6,1.000,0.867,0.688,STABLE,13
asset tokenization services ou,SMALL,1,1,RED-PEN-S-WB-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
assist software,SMALL,2,1,CYBEREDU-DEV-T-1,1.000,0.000,1.000,MIXED/UNKNOWN,0
astormueller,SMALL,3,14,BLUE-IR-OC-6,1.000,0.000,0.333,MIXED/UNKNOWN,0
banca comerciala romana,SMALL,3,3,RED-PEN-S-B-11,1.000,0.000,1.000,MIXED/UNKNOWN,0
bit sentinel security,SMALL,3,1,CYBEREDU-OP-U-5,1.000,0.000,0.333,MIXED/UNKNOWN,0
capital financial services,STANDARD,8,15,RED-VA-E-B-100,0.667,0.000,0.125,MIXED/UNKNOWN,0
carma,SMALL,1,1,RED-PEN-B-E-B-10,1.000,0.000,1.000,MIXED/UNKNOWN,0
carrefour banque,SMALL,2,2,RED-PEN-B-E-B-25,0.500,0.000,0.500,MIXED/UNKNOWN,0
carrefour belgium,SMALL,1,1,RED-PEN-B-E-B-30,1.000,0.000,1.000,MIXED/UNKNOWN,0
carrefour global sourcing asia,SMALL,2,2,RED-PEN-B-E-B-5,0.500,0.000,1.000,MIXED/UNKNOWN,0
carrefour romania,STANDARD,12,12,RED-PEN-B-E-B-5,0.250,0.222,0.083,MIXED/UNKNOWN,0
carrefour systemes d information 0552 massy,SMALL,4,4,RED-PEN-B-E-B-20,0.500,0.333,0.500,MIXED/UNKNOWN,0
certsign,MANY,42,32,RED-PEN-M-G-1,0.281,0.346,0.100,MIXED/UNKNOWN,0
cez vanzare,SMALL,1,2,RED-NIS-C-PEN-58,0.500,0.000,1.000,MIXED/UNKNOWN,0
code whale,STANDARD,8,8,RED-PEN-S-B-1,1.000,0.000,0.500,MIXED/UNKNOWN,0
compania nationala de investitii,SMALL,2,1,RED-PEN-B-I-B-20,1.000,0.000,0.500,MIXED/UNKNOWN,0
comtim romania,SMALL,1,1,RED-PEN-B-E-B-10,1.000,0.000,1.000,MIXED/UNKNOWN,0
creatopy,SMALL,2,1,RED-PEN-B-E-B-5,1.000,0.000,0.500,MIXED/UNKNOWN,0
crowngem,MANY,22,13,RED-C-Q-QQ-12,0.846,0.111,1.000,MIXED/UNKNOWN,0
custify,STANDARD,10,5,RED-PEN-S-WB-1,0.800,0.167,0.286,MIXED/UNKNOWN,0
digital economy development,SMALL,3,3,RED-C-M-YY-12,1.000,0.000,0.667,MIXED/UNKNOWN,0
digital sale,SMALL,1,1,RED-VA-I-B-25,1.000,0.000,1.000,MIXED/UNKNOWN,0
digitize tech,RECURRENT,12,48,BLUE-MDR-C-10,0.500,0.889,0.750,MIXED/UNKNOWN,4
directoratul national de securitate cibernetica dnsc,SMALL,1,1,RED-MISC-<30>,1.000,0.000,1.000,MIXED/UNKNOWN,0
distributie energie oltenia,SMALL,2,4,RED-NIS-C-PEN-100,0.500,0.000,0.500,MIXED/UNKNOWN,0
dona cargo,MANY,26,2,RED-NIS-C-PEN-300,0.500,0.792,0.400,MIXED/UNKNOWN,0
dona logistica,RECURRENT,46,38,BLUE-MDR-C-725,0.947,0.792,0.455,STABLE,4
echinox evaluari,SMALL,2,2,RED-VA-I-P-10,1.000,0.000,1.000,MIXED/UNKNOWN,0
edpr romania,SMALL,1,1,CONSULTANCY-MISC-7,1.000,0.000,1.000,MIXED/UNKNOWN,0
electro-alfa international,STANDARD,8,3,RED-PEN-RED-ST-30,0.333,0.000,0.200,MIXED/UNKNOWN,0
elgeka - ferfelis romania,SMALL,3,1,RED-PEN-B-I-BP-150,1.000,0.000,0.333,MIXED/UNKNOWN,0
elit,SMALL,1,1,RED-PEN-B-E-B-16,1.000,0.000,1.000,MIXED/UNKNOWN,0
ernst young support services,SMALL,2,1,CYBEREDU-UNR,1.000,0.000,0.500,MIXED/UNKNOWN,0
european digital exchange,SMALL,1,2,RED-PEN-B-I-B-500,0.500,0.000,1.000,MIXED/UNKNOWN,0
european union agency for network information security,SMALL,1,8,CYBEREDU-MISC,0.375,0.000,1.000,MIXED/UNKNOWN,0
europeum,SMALL,2,1,RED-PEN-S-B-<8>,1.000,0.000,0.500,MIXED/UNKNOWN,0
ewind,SMALL,2,2,RED-NIS-C-PEN-100,0.500,0.000,1.000,MIXED/UNKNOWN,0
farmaceutica argesfarm,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,0.333,MIXED/UNKNOWN,0
farmec,RECURRENT,13,11,CONSULTANCY-MISC-8,0.727,0.800,0.545,STABLE,10
fildas trading,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,0.333,MIXED/UNKNOWN,0
flashnet,STANDARD,8,9,RED-NIS-C-PEN-10,1.000,0.000,0.429,MIXED/UNKNOWN,0
focality,SMALL,1,1,RED-PEN-B-E-B-11,1.000,0.000,1.000,MIXED/UNKNOWN,0
fortech,SMALL,2,2,RED-PEN-B-I-B-50,0.500,0.000,1.000,MIXED/UNKNOWN,0
g d meta farm,SMALL,1,2,RED-NIS-C-PEN-100,0.500,0.000,1.000,MIXED/UNKNOWN,0
graftex prodcom,RECURRENT,16,24,BLUE-MDR-C-6,1.000,0.867,0.688,STABLE,13
hertza,RECURRENT,28,36,RED-PEN-B-E-B-30,0.944,0.846,0.667,STABLE,26
high-tech systems software,SMALL,3,1,RED-PEN-B-E-B-1,1.000,0.000,0.500,MIXED/UNKNOWN,0
histria shipmanagement,SMALL,2,1,RED-PEN-RED-ST-50,1.000,0.000,0.500,MIXED/UNKNOWN,0
infomed fluids,STANDARD,6,5,RED-AUDIT-A-30,0.600,0.333,0.500,MIXED/UNKNOWN,0
infosys romania,SMALL,4,2,RED-PEN-B-E-B-44,1.000,0.000,1.000,MIXED/UNKNOWN,0
ingka investments renewable energy romania,SMALL,1,4,CONSULTANCY-MISC-5,0.250,0.000,1.000,MIXED/UNKNOWN,0
