invoiceKey,invoiceNumber,organization,orgMatch,issueDate,currency,milestone,amountEur,amountRon,tier,confidence,proposedPartNumber,proposedContractRef,amountMatchedOn,trackerYear,issuer,trackerDescription,invoiceServiceText,candidateCount,reason,topCandidates,lineProposals
accounting:BT.BIT 1,BT.BIT 1,CYBERGHOST SRL,none,2015-08-27,RON,,100,443.75,UNRESOLVED,NONE,,,,,,,"consultanta securitate informatica. consultanta securitate informatica. 100 euro la cursul BNR din 26.08.2015 de 4,4376 lei",0,org not found in tracker,[],
accounting:BT.BIT 2,BT.BIT 2,VOX CARRIER SRL,none,2015-09-09,RON,,1000,4426.1,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.1 SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.1 1000 euro la cursul BNR de 4,4261 lei din ",0,org not found in tracker,[],
accounting:BT.BIT 3,BT.BIT 3,VOX CARRIER SRL,none,2015-10-14,RON,,1300,5741.19,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.3 SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.3 1300 euro la cursul BNR de 4.4163 lei din ,0,org not found in tracker,[],
accounting:BT.BIT 4,BT.BIT 4,BLUETEQ BUSINESS SRL,none,2015-12-03,RON,,150,669.06,UNRESOLVED,NONE,,,,,,,"Servicii de mentenanta it Servicii de mentenanta it 150 euro la cursul BNR de 4,4604 lei din 02.12.2015",0,org not found in tracker,[],
accounting:BT.BIT 5,BT.BIT 5,VOX CARRIER SRL,none,2015-12-14,RON,,1850,8340.73,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.3 SERVICII CONFORM CONTRACT NR.482 DIN 18.08.2015 ANEXA NR.3 1850 euro la cursul BNR de 4,5085 lei din ",0,org not found in tracker,[],
accounting:BT.BIT 6,BT.BIT 6,VELERA NETWORK SRL,none,2015-12-21,RON,,1334,6017.01,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.337/16.12.2015 ANEXA NR.1 SERVICII CONFORM CONTRACT NR.337/16.12.2015 ANEXA NR.1 1334 euro la cursul BNR de 4,5105 lei din 21.12.20",0,org not found in tracker,[],
accounting:BT.BIT 7,BT.BIT 7,CREATIVE MEDIA DEVELOPMENT SRL,none,2016-02-10,RON,,8900,39918.28,UNRESOLVED,NONE,,,,,,,"PRESTARI SERVICII CONFORM CONTRACT NR.102 DIN 21.01.2016 PRESTARI SERVICII CONFORM CONTRACT NR.102 DIN 21.01.2016 8900 euro la cursul BNR de 4,4852 lei din 10.0",0,org not found in tracker,[],
accounting:BT.BIT 8,BT.BIT 8,CREATIVE MEDIA DEVELOPMENT SRL,none,2016-03-24,RON,,500,2232.05,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. ANEXA NR. 6 LA CONTR.NR.102/21.01.2016 PREST. SERV. CONF. ANEXA NR. 6 LA CONTR.NR.102/21.01.2016 500 euro la cursul BNR de 4,4641 lei din 23.",0,org not found in tracker,[],
accounting:BT.BIT 9,BT.BIT 9,RENANIA TRADE SRL,none,2016-04-12,RON,,10300,46008.04,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.101 DIN 19.01.2016 SERVICII CONFORM CONTRACT NR.101 DIN 19.01.2016 10300 euro la cursul BNR de 4,4668 din 12.04.2016",0,org not found in tracker,[],
accounting:BT.BIT 10,BT.BIT 10,ORANGE ROMANIA SA,exact,2016-04-12,RON,,4000,17867.2,SCORED,MEDIUM,ORO-TEM-DEV-50,PO 40280009,final,2016,BSS,dezv,Dezvoltare platforma web Orange Threat Map Dezvoltare platforma web Orange Threat Map Bon de comanda nr. 40280009 din 06.04.2016 reprezentand 4000 euro la cursu,7,"org exact; score=45 margin=23 on [amount~final, data final (0d)]; 1 distinct part# near top","[{""pn"":""ORO-TEM-DEV-50"",""score"":45,""on"":[""amount~final"",""data final (0d)""],""ref"":""PO 40280009"",""desc"":""dezv""},{""pn"":""RED-PEN-B-E-B-5"",""score"":22,""on"":[""amount~final""],""ref"":""12.03.2024"",""desc"":""servicii de pentest""},{""pn"":""ORO-TEM-DEV-100"",""score"":12,""on"":[""amount~final""],""ref"":""PO 40407868"",""desc"":""multiple services""}]",
accounting:BT.BIT 11,BT.BIT 11,SETY ROBOTICS SRL,none,2016-06-21,RON,,750,3399.75,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.601 DIN 06.06.2016 SERVICII CONFORM CONTRACT NR.601 DIN 06.06.2016 750 euro la cursul BNR de 4,5330 lei din 21.06.2016",0,org not found in tracker,[],
accounting:BT.BIT 12,BT.BIT 12,BLUETEQ BUSINESS SRL,none,2016-08-02,RON,,656,2922.22,UNRESOLVED,NONE,,,,,,,"SERVICII MENTENANTA IT SERVICII MENTENANTA IT 656 euro la cursul BNR de 4,4546 lei din 02.08.2016",0,org not found in tracker,[],
accounting:BT.BIT 13,BT.BIT 13,BLUETEQ BUSINESS SRL,none,2016-09-19,RON,,228.76,1017.16,UNRESOLVED,NONE,,,,,,,"SERVICII MENTENANTA IT SERVICII MENTENANTA IT 228,76 euro la cursul BNR de 4,4464 lei din 19.09.2016",0,org not found in tracker,[],
accounting:BT.BIT 14,BT.BIT 14,CREATIVE MEDIA DEVELOPMENT SRL,none,2016-09-26,RON,,650,2890.55,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.102/21.01.2016 PREST. SERV. CONF. CONTR.NR.102/21.01.2016 650 euro la cursul BNR de 4,4470 din 23.09.2016",0,org not found in tracker,[],
accounting:BT.BIT 15,BT.BIT 15,SC GEORANKER SRL,none,2016-12-05,RON,,4200,18911.34,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.1811 DIN 18.11.2016 SERVICII CONFORM CONTRACT NR.1811 DIN 18.11.2016 4200 euro la cursul BNR de 4,5027 lei din 05.12.2016",0,org not found in tracker,[],
accounting:BT.BIT 16,BT.BIT 16,CREATIVE MEDIA DEVELOPMENT SRL,none,2016-12-07,RON,,11130,50092.79,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.1101 DIN 15.11.2016 SERVICII CONFORM CONTRACT NR.1101 DIN 15.11.2016 11130 euro la cursul BNR de 4,5007 lei din 07.12.2016",0,org not found in tracker,[],
accounting:BT.BIT 17,BT.BIT 17,MARKETIZATOR FRIENDS SRL,none,2016-12-08,RON,,2750,12376.93,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.1002 DIN 24.10.2016 SERVICII CONFORM CONTRACT NR.1002 DIN 24.10.2016 2750 euro la cursul BNR de 4,5007 lei din 07.12.2016",0,org not found in tracker,[],
accounting:BT.BIT 18,BT.BIT 18,ORANGE ROMANIA SA,exact,2016-12-20,RON,,3100,14010.14,SCORED,MEDIUM,ORO-TEM-DEV-50,PO 40298463,final,2016,BSS,Adaugare/imbunatatire functionalitati pentru platforma BIS Threat Map,BON DE COMANDA 40298463/23.11.2016; ID comanda C27892 BON DE COMANDA 40298463/23.11.2016; ID comanda C27892 Adaugare/imbunatatire functionalitati pentru platfor,7,"org exact; score=54 margin=32 on [amount~final, data final (0d), desc~0.35]; 1 distinct part# near top","[{""pn"":""ORO-TEM-DEV-50"",""score"":54,""on"":[""amount~final"",""data final (0d)"",""desc~0.35""],""ref"":""PO 40298463"",""desc"":""Adaugare/imbunatatire\nfunctionalitati pentru\nplatforma BIS T""},{""pn"":""ORO-TEM-DEV-50"",""score"":22,""on"":[""amount~final""],""ref"":""PO 40361678"",""desc"":""dezvoltari tem""},{""pn"":""RED-PEN-B-I-B-20"",""score"":12,""on"":[""amount~final""],""ref"":""27.5.2024"",""desc"":""servicii de pentest""}]",
accounting:BT.BIT 19,BT.BIT 19,FAN COURIER EXPRESS SRL,none,2016-12-30,RON,,13300,60396.63,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.802/26.08.2016 PREST. SERV. CONF. CONTR.NR.802/26.08.2016 13300 euro la cursul BNR de 4,5411 lei din 30.12.2016",0,org not found in tracker,[],
accounting:BT.BIT 20,BT.BIT 20,SYNEVO ROMANIA SRL,none,2017-01-03,RON,,13600,61438,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.902/22.09.2016 PREST. SERV. CONF. CONTR.NR.902/22.09.2016 13600 euro la cursul BNR de 4,5175 din 03.01.2017",0,org not found in tracker,[],
accounting:BT.BIT 21,BT.BIT 21,VOX CARRIER SRL,none,2017-02-01,RON,,1100,5921.92,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.101 DIN 16.01.2017 SERVICII CONFORM CONTRACT NR.101 DIN 16.01.2017 1100 euro la cursul BNR de 4,5240 lei din 01.02.2017",0,org not found in tracker,[],
accounting:BT.BIT 22,BT.BIT 22,FAN COURIER EXPRESS SRL,none,2017-03-13,RON,storno,13300,-60396.63,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.802/26.08.2016 PREST. SERV. CONF. CONTR.NR.802/26.08.2016 13300 euro la cursul BNR de 4,5411 lei din 30.12.2016 Storneaza factura BT",0,org not found in tracker,[],
accounting:BT.BIT 23,BT.BIT 23,FAN COURIER EXPRESS SRL,none,2017-03-13,RON,,,72072.99,UNRESOLVED,NONE,,,,,,,PREST. SERV. CONF. CONTR.NR.802/26.08.2016 PREST. SERV. CONF. CONTR.NR.802/26.08.2016,0,org not found in tracker,[],
accounting:BT.BIT 24,BT.BIT 24,CREATIVE MEDIA DEVELOPMENT SRL,none,2017-03-22,RON,,,2715.22,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.11001DIN 15.11.2016 si ANEXA 6 SERVICII CONFORM CONTRACT NR.11001DIN 15.11.2016 si ANEXA 6 CURS BNR DE 4,5634 LEI DIN 21.03.2017",0,org not found in tracker,[],
accounting:BT.BIT 25,BT.BIT 25,EDWARD NEUK COMPANY SRL,none,2017-04-03,RON,,6900,37360.87,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.102/22.02.2017 PREST. SERV. CONF. CONTR.NR.102/22.02.2017 6900 euro la cursul BNR de 4,5501 lei din 03.04.2017",0,org not found in tracker,[],
accounting:BT.BIT 26,BT.BIT 26,CREATIVE MEDIA DEVELOPMENT SRL,none,2017-06-14,RON,,,2717.19,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 SI ANEXA 6 SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 SI ANEXA 6 CURS BNR 4,5667 LEI DIN 14.06.2017",0,org not found in tracker,[],
accounting:BT.BIT 27,BT.BIT 27,GRUPUL EDITORIAL ART SRL,none,2017-06-27,RON,,,14188.37,UNRESOLVED,NONE,,,,,,,Servicii conform contract 105/19.06.2017 Servicii conform contract 105/19.06.2017,0,org not found in tracker,[],
accounting:BT.BIT 28,BT.BIT 28,OMNIASIG VIENNA INSURANCE GROUP S.A.,none,2017-07-26,RON,,,134749.65,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.104 DIN 06.06.2017 SERVICII CONFORM CONTRACT NR.104 DIN 06.06.2017,0,org not found in tracker,[],
accounting:BT.BIT 29,BT.BIT 29,CREATIVE MEDIA DEVELOPMENT SRL,none,2017-09-06,RON,,500,2734.56,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 ANEXA 6 SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 ANEXA 6 500 euro la cursul BNR de 4,5959 lei din 05.",0,org not found in tracker,[],
accounting:BT.BIT 30,BT.BIT 30,ORANGE ROMANIA SA,exact,2017-09-07,RON,,10000,54722.15,SCORED,MEDIUM,ORO-TEM-DEV-50,PO 40321546,final,2017,BSS,dezv,"Adaugare/imbunatatirefunctionalitati platforma BISThreatMap Adaugare/imbunatatirefunctionalitati platforma BISThreatMap 10000 euro la cursul BNR de 4,5985 lei d",16,"org exact; score=45 margin=15 on [amount~final, data final (0d)]; 1 distinct part# near top","[{""pn"":""ORO-TEM-DEV-50"",""score"":45,""on"":[""amount~final"",""data final (0d)""],""ref"":""PO 40321546"",""desc"":""dezv""},{""pn"":""BLUE-IR-100"",""score"":30,""on"":[""amount~final""],""ref"":""PO 40360300"",""desc"":""data breach""},{""pn"":""CYBEREDU-UNR"",""score"":30,""on"":[""amount~final""],""ref"":""40469783"",""desc"":""parteneriat unr 2022""}]",
accounting:BT.BIT 31,BT.BIT 31,OMNICONVERT SRL,none,2017-09-12,RON,,4900,26809.77,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.108 DIN 28.07.2017 SERVICII CONFORM CONTRACT NR.108 DIN 28.07.2017 4900 euro +TVA la cursul BNR de 4,5978 lei din 11.09.2017",0,org not found in tracker,[],
accounting:BT.BIT 32,BT.BIT 32,CONSILIERUL COMERCIAL AL AMBASADEI AUSTRIEI LA BUCURESTI,none,2017-10-05,RON,,1750,9532.02,UNRESOLVED,NONE,,,,,,,"Elemente logistice Elemente logistice pentru organizarea evenimentului din data de 8 Noiembrie 2017 . Valoare 1750 euro +TVA la cursul BNR de 4,5772 lei din 04.",0,org not found in tracker,[],
accounting:BT.BIT 33,BT.BIT 33,EDWARD NEUK COMPANY SRL,none,2017-11-16,RON,,13800,76043.71,UNRESOLVED,NONE,,,,,,,"PREST. SERV. CONF. CONTR.NR.102/22.02.2017 anexa 4 PREST. SERV. CONF. CONTR.NR.102/22.02.2017 anexa 4 13800 euro la cursul BNR de 4,6306 lei din 15.11.2017.",0,org not found in tracker,[],
accounting:BT.BIT 34,BT.BIT 34,CREATIVE MEDIA DEVELOPMENT SRL,none,2017-11-29,RON,,500,2762.11,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 ANEXA 6 SERVICII CONFORM CONTRACT NR.11001 DIN 15.11.2016 ANEXA 6 500 euro la cursul BNR de 4,6422 lei din 29.",0,org not found in tracker,[],
accounting:BT.BIT 35,BT.BIT 35,ZIPPER SERVICES SRL,exact,2017-12-20,RON,avans,4000,22027.38,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,NR.109 DIN 07.12.2017,,2017,BSS,pentest aplicatie si cod review,"AVANS SERVICII CONFORM CONTRSCT NR.109 DIN 07.12.2017 AVANS SERVICII CONFORM CONTRSCT NR.109 DIN 07.12.2017 4000 euro la cursul BNR de 4,6276 lei din 20.12.2017",1,org exact; unique part# via contract 109; avans,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""NR.109 DIN 07.12.2017"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 36,BT.BIT 36,EDWARD NEUK COMPANY SRL,none,2017-12-26,RON,,13800,76199.72,UNRESOLVED,NONE,,,,,,,PREST. SERV. CONF. CONTR.NR.102/22.02.2017 anexa 5 PREST. SERV. CONF. CONTR.NR.102/22.02.2017 anexa 5 13800 euro +TVA,0,org not found in tracker,[],
accounting:BT.BIT 37,BT.BIT 37,ZIPPER SERVICES SRL,exact,2018-01-18,RON,storno,4000,26466.75,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,NR.109 DIN 07.12.2017,,2017,BSS,pentest aplicatie si cod review,STORNARE AVANS SERVICII CONFORM CONTRSCT NR.109 DIN 07.12.20 STORNARE AVANS SERVICII CONFORM CONTRSCT NR.109 DIN 07.12.20 Factura BT.BIT36 din 20.12.2017 (4000 ,1,org exact; unique part# via contract 109; storno,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""NR.109 DIN 07.12.2017"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 38,BT.BIT 38,CREATIVE MEDIA DEVELOPMENT SRL,none,2018-02-16,RON,,,69314.52,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 ANEXA NR.1 SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 ANEXA NR.1,0,org not found in tracker,[],
accounting:BT.BIT 39,BT.BIT 39,EDWARD NEUK COMPANY SRL,none,2018-02-19,RON,,13800,76541.3,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.102 DIN 22.02.2017 anexa 6 SERVICII CONFORM CONTRACT NR.102 DIN 22.02.2017 anexa 6 13800 euro+TVA,0,org not found in tracker,[],
accounting:BT.BIT 40,BT.BIT 40,CREATIVE MEDIA DEVELOPMENT SRL,none,2018-02-27,RON,,650,3601.73,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 , Anexa1 SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 , Anexa1 650 euro la cursul BNR de 4,6564 lei din 27.02",0,org not found in tracker,[],
