invoiceKey,import,partNumberFinal,notes,companyType,companyInvoiceCount,companyActivityCount,companyDominantPartNumber,companyDominantShare,companyCadenceShare,companyAmountTrend,recommendedAction,confidence,matchMode,source,sourceId,invoiceNumber,organization,issueDate,currency,amountContract,amountLocal,milestone,proposedPartNumber,partNumberTemplate,partNumberValues,catalogStatus,partNumberCandidates,trackerRow,trackerExpectedDate,dateGapDays,proposedContractRef,invoiceServiceText,lineMatches,reason
accounting:BT.BIT 367,no,RED-VA-I-B-100,,SMALL,2,1,RED-VA-I-B-100,1.000,0.000,MIXED/UNKNOWN,REVIEW,MEDIUM,PROFILE,ron,cms689mz200vrrt359p2lprh3,BT.BIT 367,123FORMBUILDER S.R.L.,2022-07-12,RON,700.00,3460.10,avans,RED-VA-I-B-100,RED-VA-I-B-<limit>,"{""limit"":""100""}",UNIQUE,RED-VA-I-B-100,168,2022-07-12,0,1/11.07.2022,SERV. CONF. CONTRACT NR.1/11.07.2022 | avans 700 euro+TVA la cursul BNR | SERV. CONF. CONTRACT NR.1/11.07.2022 | avans 700 euro+TVA la cursul BNR,,"PROFILE; date:0d, amount:0.0%, milestone:avans; company=SMALL; dominant=RED-VA-I-B-100 (100%)"
accounting:BT.BIT 396,no,RED-VA-I-B-100,,SMALL,2,1,RED-VA-I-B-100,1.000,0.000,MIXED/UNKNOWN,REVIEW,HIGH,STORNO_REFERENCE,ron,cms689n6000yhrt35sy2aj721,BT.BIT 396,123FORMBUILDER S.R.L.,2022-09-14,RON,700.00,5122.95,storno,RED-VA-I-B-100,RED-VA-I-B-<limit>,"{""limit"":""100""}",UNIQUE,RED-VA-I-B-100,168,2022-07-12,64,1/11.07.2022,"SERV. CONF. CONTRACT NR.1/11.07.2022 | stornare factura 367 din 12.07.2022, avans 700 euro+TVA la cursul BNR | SERV. CONF. CONTRACT NR.1/11.07.2022 | stornare factura 367 din 12.07.2022, avans 700 euro+TVA la cursul BNR | SERV. CONF. CONTRA",,Storno mapped to BT.BIT 367; contract=true; amount=true; gap=64d
accounting:BT.BIT 386,no,RED-PEN-B-I-B-30,,SMALL,4,2,RED-PEN-B-I-B-30,1.000,0.000,MIXED/UNKNOWN,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689n3s00xfrt35h53s6xxh,BT.BIT 386,ACCESA IT SYSTEMS SRL,2022-08-16,RON,1700.00,8314.53,avans,RED-PEN-B-I-B-30,RED-PEN-B-I-B-<limit>,"{""limit"":""30""}",UNIQUE,RED-PEN-B-I-B-30,153,2022-08-16,0,230/18.07.2022,SERVICII CONFORM CONTRACT 230/18.07.2022 | avans 1.700 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT 230/18.07.2022 | avans 1.700 euro+TVA la cursul BNR,,"CONTRACT; contract, date:0d, amount:0.0%, milestone:avans; company=SMALL; dominant=RED-PEN-B-I-B-30 (100%)"
accounting:BT.BIT 402,no,RED-PEN-B-I-B-30,,SMALL,4,2,RED-PEN-B-I-B-30,1.000,0.000,MIXED/UNKNOWN,REVIEW,HIGH,STORNO_REFERENCE,ron,cms689n7f00z0rt35e81e189g,BT.BIT 402,ACCESA IT SYSTEMS SRL,2022-10-03,RON,1700.00,12714.47,storno,RED-PEN-B-I-B-30,RED-PEN-B-I-B-<limit>,"{""limit"":""30""}",UNIQUE,RED-PEN-B-I-B-30,153,2022-08-16,48,230/18.07.2022,SERVICII CONFORM CONTRACT 230/18.07.2022 | Stornare factura 386/16.08.2022(avans 1.700 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT 230/18.07.2022 | Stornare factura 386/16.08.2022(avans 1.700 euro+TVA la cursul BNR | SERVICII CONFORM,,Storno mapped to BT.BIT 386; contract=true; amount=true; gap=48d
accounting:BT.BIT 561,no,RED-PEN-B-I-B-30,,SMALL,4,2,RED-PEN-B-I-B-30,1.000,0.000,MIXED/UNKNOWN,ACCEPT_CANDIDATE,HIGH,CONTRACT,ron,cms689o7n01d0rt35ffci942r,BT.BIT 561,ACCESA IT SYSTEMS SRL,2023-11-20,RON,3300.00,16404.63,avans,RED-PEN-B-I-B-30,RED-PEN-B-I-B-<limit>,"{""limit"":""30""}",UNIQUE,RED-PEN-B-I-B-30,880,2023-11-20,0,230/18.07.2022,SERVICII CONFORM ACT ACT ADITIONAL 1/08.11.2023 LA CONTRACT | nr.230/18.07.2022(avans 3.300 euro+TVA la cursul BNR) | SERVICII CONFORM ACT ACT ADITIONAL 1/08.11.2023 LA CONTRACT | nr.230/18.07.2022(avans 3.300 euro+TVA la cursul BNR),,"CONTRACT; contract, date:0d, amount:0.0%, milestone:avans; company=SMALL; dominant=RED-PEN-B-I-B-30 (100%)"
accounting:BT.BIT 565,no,RED-PEN-B-I-B-30,,SMALL,4,2,RED-PEN-B-I-B-30,1.000,0.000,MIXED/UNKNOWN,REVIEW,HIGH,STORNO_REFERENCE,ron,cms689o8g01dcrt35fehyc4kr,BT.BIT 565,ACCESA IT SYSTEMS SRL,2023-12-07,RON,3300.00,24580.55,storno,RED-PEN-B-I-B-30,RED-PEN-B-I-B-<limit>,"{""limit"":""30""}",UNIQUE,RED-PEN-B-I-B-30,880,2023-11-20,17,230/18.07.2022,SERVICII CONFORM ACT ACT ADITIONAL 1/08.11.2023 LA CONTRACT | nr.230/18.07.2022(avans 3.300 euro+TVA la cursul BNR) Stornare factura 561/20.11.2023 | SERVICII CONFORM ACT ACT ADITIONAL 1/08.11.2023 LA CONTRACT | nr.230/18.07.2022(avans 3.30,,Storno mapped to BT.BIT 561; contract=true; amount=true; gap=17d
accounting:BT.BIT 527,no,RED-NIS-C-PEN-100,,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,MIXED/UNKNOWN,REVIEW,LOW,SCORED,ron,cms689o00019vrt35b16triit,BT.BIT 527,ADM ROMANIA LOGISTICS S.R.L.,2023-09-05,RON,6000.00,29679.00,avans,RED-NIS-C-PEN-100,RED-NIS-C-PEN-<limit>,"{""limit"":""100""}",UNIQUE,RED-NIS-C-PEN-100 | RED-NIS-C-AUDIT-100,866,2023-09-05,0,272/28.08.2023,SERVICII CONFORM ART 3.9.1 DIN CONTRACT | 6.000 euro+TVA la cursul BNR reprezentand 40% avans | SERVICII CONFORM ART 3.9.1 DIN CONTRACT | 6.000 euro+TVA la cursul BNR reprezentand 40% avans,,"SCORED; date:0d, milestone:avans; company=SMALL; dominant=RED-NIS-C-PEN-100 (50%)"
accounting:BT.BIT 547,no,,,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,MIXED/UNKNOWN,SKIP_NO_MATCH,NONE,NONE,ron,cms689o4e01bkrt35s6cqvsj7,BT.BIT 547,ADM ROMANIA LOGISTICS S.R.L.,2023-10-10,RON,4500.00,22345.20,,,,,EMPTY,,,,,,SERVICII CONFORM ART 3.9.2 DIN CONTRACT | 4.500 euro+TVA la cursul BNR reprezentand 30% din total | SERVICII CONFORM ART 3.9.2 DIN CONTRACT | 4.500 euro+TVA la cursul BNR reprezentand 30% din total,,No accounting-to-tracker activity match met the conservative threshold.
accounting:BT.BIT 560,no,,,SMALL,3,2,RED-NIS-C-PEN-100,0.500,0.000,MIXED/UNKNOWN,SKIP_NO_MATCH,NONE,NONE,ron,cms689o7f01cvrt35ztrvz91p,BT.BIT 560,ADM ROMANIA LOGISTICS S.R.L.,2023-11-17,RON,15500.00,25027.85,storno,,,,EMPTY,,,,,,SERVICII DE AUDIT NIS STORNO FACTURA AVANS BT BIT 527/05.09.2023 STORNO FACTURA BT.BIT 547/10.10.2023 | 15.500 euro+TVA la cursul BNR conform articolul 3.9.2 | SERVICII DE AUDIT NIS | 15.500 euro+TVA la cursul BNR conform articolul 3.9.2 | ,,Storno: no sufficiently similar original invoice found.
accounting:BT.BIT 269,no,,,UNMATCHED,,,,,,,SKIP_NO_MATCH,NONE,NONE,ron,cms689mb300n3rt35f3ssep2t,BT.BIT 269,AIMS TIMISOARA S.R.L.,2021-05-17,RON,1500.00,7388.40,,,,,EMPTY,,,,,,SERVICII CONFORM CONTRACT 190/06.05.2021 | 1500 euro+TVA la cursul BNR | SERVICII CONFORM CONTRACT 190/06.05.2021 | 1500 euro+TVA la cursul BNR,,Organization not found in tracker.
