organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
123Formbuilder S.R.L.,RED-VA-I-B-100,168,avans,2022-07-12,actual,700.00,1/11.07.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 367,ron,2022-07-12,0
123Formbuilder S.R.L.,RED-VA-I-B-100,168,final,2022-09-14,actual,1050.00,1/11.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,153,avans,2022-08-16,actual,1700.00,230/18.07.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 386,ron,2022-08-16,0
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,153,final,2022-10-03,actual,2550.00,230/18.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,880,avans,2023-11-20,actual,3300.00,230/18.07.2022,INVOICED_ACCOUNTING,Da,,BT.BIT 561,ron,2023-11-20,0
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,880,final,2023-12-07,actual,4950.00,230/18.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-PEN-100,866,avans,2023-09-05,actual,,272/28.08.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 527,ron,2023-09-05,0
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-AUDIT-100,867,avans,2023-09-05,actual,,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-PEN-100,866,final,2023-11-17,actual,9000.00,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-AUDIT-100,867,final,2023-11-17,actual,6500.00,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-PEN-100,129,avans,2022-12-20,actual,4000.00,NR. 239/23.11.2022,INVOICED_ACCOUNTING,N/A,TRACKER_FLAG_STALE_NOT_BILLED,434,ron,2022-12-20,0
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-PEN-100,129,final,2022-12-20,actual,6000.00,NR. 239/23.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-AUDIT-100,130,avans,2022-12-20,actual,1600.00,NR. 239/23.11.2022,PAST_UNMATCHED,N/A,,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-AUDIT-100,130,final,2022-12-20,actual,2400.00,NR. 239/23.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ALLOGA LOGISTICS ROMANIA S.R.L.,RED-NIS-C-AUDIT-100,131,final,2024-01-09,actual,1000.00,NR.275/02.11.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 596,ron,2024-01-31,22
ALTEX ROMANIA SRL,PHISH-P-L-MM-F-4000-12,18,final,2021-09-01,actual,2500.00,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 288,ron,2021-09-01,0
ALTEX ROMANIA SRL,PHISH-P-L-MM-F-4000-12,19,final,2021-10-04,actual,2500.00,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 295,ron,2021-10-04,0
ALTEX ROMANIA SRL,PHISH-P-L-MM-F-4000-12,20,final,2021-11-01,actual,2500.00,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 302,ron,2021-11-01,0
ALTEX ROMANIA SRL,PHISH-P-L-MM-F-4000-12,21,final,2021-12-02,actual,2500.00,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,INVOICED_ACCOUNTING,Da,,BT.BIT 307,ron,2021-12-02,0
