sourceKey,collidingDbKey,invoiceNumber,organization,issueDate,amountContract,amountLocal,proposedPartNumber,confidence,reason
ron:21040,accounting:BT.BIT 622,BT.BIT 622,APAVITAL SA,2024-04-22,,37314.75,RED-NIS-C-PEN-100,MEDIUM,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4399,accounting:BT.BIT 91,BT.BIT 91,ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP SA,2019-02-25,6300.00,29999.97,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4636,accounting:BT.BIT 107,BT.BIT 107,ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP SA,2019-04-17,6300.00,44968.46,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:6115,accounting:BT.BIT 157,BT.BIT 157,ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP SA,2019-12-11,5670.00,27099.20,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:6184,accounting:BT.BIT 161,BT.BIT 161,ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP SA,2019-12-18,5670.00,27099.20,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:6188,accounting:BT.BIT 162,BT.BIT 162,ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP SA,2019-12-18,14175.00,67712.55,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:3726,accounting:BT.BIT 75,BT.BIT 75,ASOCIATIA CENTRUL DE CERCETARE IN SECURITATE INFORMATICA DIN ROM,2018-11-20,9000.00,41995.80,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
valuta:55446,accounting:BT.BIT 201,BT.BIT 201,ASTORMUELLER AG,2026-05-05,16920.00,87980.62,BLUE-IR-OC-6,HIGH,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:3550,accounting:BT.BIT 71,BT.BIT 71,AVAELGO SRL,2018-09-24,3500.00,16302.30,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4241,accounting:BT.BIT 85,BT.BIT 85,AVAELGO SRL,2019-02-04,5000.00,23773.00,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4885,accounting:BT.BIT 111,BT.BIT 111,AVAELGO SRL,2019-05-28,11500.00,54741.15,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:7582,accounting:BT.BIT 215,BT.BIT 215,BANU MARIUS ANDREI,2020-07-24,,268.91,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4397,accounting:BT.BIT 90,BT.BIT 90,BCR ASIGURARI DE VIATA VIENNA INSURANCE GROUP SA,2019-02-25,4500.00,21428.55,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4430,accounting:BT.BIT 97,BT.BIT 97,BCR ASIGURARI DE VIATA VIENNA INSURANCE GROUP SA,2019-03-12,4500.00,21428.55,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
ron:4437,accounting:BT.BIT 99,BT.BIT 99,BCR ASIGURARI DE VIATA VIENNA INSURANCE GROUP SA,2019-03-12,11250.00,53455.50,,NONE,Present in newest accounting export but absent from production (usually externalRecordId collision).
