source,invoiceNumber,sourceId,organization,issueDate,currency,serviceText
ron,BT.BIT 128,5257,CONNECTIONS CONSULT SRL,2019-07-31,RON,SERVICII CONFORM ACT ADITIONAL NR.1 | LA CONTRACTUL NR.130/26.09.2018
ron,BT.BIT 128,5264,WHITE IMAGE LOYALTY SRL,2019-08-13,RON,STORNARE AVANS SERVICII CONFORM CONTRACT NR. 12/ 03.06.201 | stornare avans 3000 euro+TVA la cursul BNR | Storneaza factura BT.BIT 124 din 25.06.2019 | SERVICII CONFORM CONTRACT NR. 12/ 03.06.201 | 7000 euro+TVA la cursul BNR
ron,BT.BIT 129,5262,RATIONAL SOFTWARE CONSULTING SRL,2019-08-01,RON,SERVICII CONFORM CONTRACT NR. 139/13.09.2018 | 1200 euro+TVA la cursul BNR
ron,BT.BIT 129,5267,ZIPPER SERVICES SRL,2019-08-13,RON,STORNARE AVANS SERVICII FACTURA 94 | 1350 EURO+TVA reprezentand 50% | Storneaza factura BT.BIT 121 din 10.06.2019 | SERVICII CONFORM CONTRACT NR.142/18.02.2019 | 2700 euro+TVA la cursul BNR
ron,BT.BIT 176,6766,CREATIVE MEDIA DEVELOPMENT SRL,2020-02-27,RON,SERVICII CONFORM ACT ADITIONAL NR.3 LA CONTRACTUL 112 | ANEXA 9 ( 7.200 euro+TVA la cursul BNR)
ron,BT.BIT 176,6989,UNIVERSUM APPS S.R.L.,2020-03-19,RON,AVANS 25% SERVICII CONFORM CONTRACT 154/10.01.2020 | Storno fact.171/31.01.2020(2375 euro+TVA la cursul BNR | Storneaza factura BT.BIT 171 din 31.01.2020 | SERVICII CONFORM CONTRACT 154/10.01.2020 | Storno fact.175/18.02.2020( 2375 euro+TVA la cursul BNR reprezentand 25%) | SERVICII CONFORM CONTRACT 154/10.01.2020 | 9500 euro+TVA la cursul BNR
ron,BT.BIT 189,7023,JUMPEYE CREATIVE MEDIA SRL,2020-04-15,RON,SERVICII CONFORM CONTRACT NR. 154/ 30.01.2020 | 2400 euro +TVA la cursul BNR
ron,BT.BIT 189,7030,QUANTIC LAB S.R.L.,2020-04-21,RON,SERVICII CONFORM CONTRACT NR. V55/08.04.2020 | Stornare fact. 188/ 09.04.2020(Avans 960 euro +TVA la cursul BNR | Storneaza factura BT.BIT 188 din 09.04.2020
ron,BT.BIT 213,7567,VIVRE DECO S.A.,2020-07-15,RON,SERVICI CONFORM CONTRACT NR.162 DIN 03.06.2020 | 4000 euro+TVA la cursul BNR | Storneaza factura BT.BIT 201 din 17.06.2020
ron,BT.BIT 213,7823,KNOXON TECHNOLOGIES S.R.L.,2020-08-17,RON,SERVICII CONFORM CONTRACT NR. 166/ 10.07.2020 | 3200 euro+TVA la cursul BNR | Storneaza factura BT.BIT 212 din 13.07.2020
ron,BT.BIT 214,7571,VIVRE DECO S.A.,2020-07-15,RON,AVANS SERVICI CONFORM CONTRACT NR.162 DIN 03.06.2020 | STORNARE FACTURA 201/17/06/2020(1600 euro +TVA la cursul BNR | Storneaza factura BT.BIT 201 din 17.06.2020
ron,BT.BIT 214,7826,KNOXON TECHNOLOGIES S.R.L.,2020-08-17,RON,SERVICII CONFORM CONTRACT NR. 166/ 10.07.2020 | Storno fact.212 din 13072020(1280 euro+TVA la cursul BNR | Storneaza factura BT.BIT 212 din 13.07.2020
ron,BT.BIT 622,20815,ORANGE ROMANIA SA,2024-03-28,RON,"SERVICII CONFORM Nr Notificare O1224658, Nr PO | PenStest - METAPLAST SRL ,Nr Receptie 11005575(4500 euro +TVA la cursul BNR)"
ron,BT.BIT 622,21040,APAVITAL SA,2024-04-22,RON,SERVICII CONFORM articol 3.9 din Contract NR. 286/21.02.2024 | (numar de inregistrare 13352) Stornare factura 621/28.03.2024 | Storneaza factura BT.BIT 621 din 28.03.2024 | SERVICII CONFORM articol 3.9 din Contract NR. 286/21.02.2024 | numar de inregistrare 13352) - factura finala
ron,BT.BIT 757,30798,DONA. LOGISTICA S.A.,2024-12-03,RON,"SERVICII CONFORM CONTRACT NR. 296 / 06.08.2024 | 1.673,7 euro+TVA la cursul BNR"
