organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
123Formbuilder S.R.L.,RED-VA-I-B-100,168,final,2022-09-14,actual,1050.00,1/11.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,153,final,2022-10-03,actual,2550.00,230/18.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
SC ACCESA IT SYSTEMS S.R.L.,RED-PEN-B-I-B-30,880,final,2023-12-07,actual,4950.00,230/18.07.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-AUDIT-100,867,avans,2023-09-05,actual,,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-PEN-100,866,final,2023-11-17,actual,9000.00,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ADM ROMANIA LOGISTICS S.R.L.,RED-NIS-C-AUDIT-100,867,final,2023-11-17,actual,6500.00,272/28.08.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-PEN-100,129,final,2022-12-20,actual,6000.00,NR. 239/23.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-AUDIT-100,130,avans,2022-12-20,actual,1600.00,NR. 239/23.11.2022,PAST_UNMATCHED,N/A,,,,,
"ALLIANCE HEALTHCARE ROMANIA S.R.L.,",RED-NIS-C-AUDIT-100,130,final,2022-12-20,actual,2400.00,NR. 239/23.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Amber Studio SA,RED-PEN-B-E-B-15,864,final,2023-09-15,actual,4950.00,269/05.07.2023,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AMETHYST RADIOTERAPIA ALBA IULIA S.A.,RED-NIS-C-PEN-200,120,final,2022-12-14,actual,1150.00,150/28.11.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
Apa Service S.A.,RED-NIS-C-AUDIT-100,1310,final,2024-09-06,actual,4500.00,NR. 299/17.6.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
APAVITAL SA,RED-NIS-C-PEN-100,987,final,2024-04-22,actual,2037.00,NR. 286/21.02.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
APAVITAL SA,RED-NIS-C-AUDIT-100,988,final,2024-04-22,actual,5500.00,NR. 286/21.02.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AQUILA PART PROD COM S.A.,RED-PEN-B-E-B-25,931,avans,2024-01-17,actual,3564.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AQUILA PART PROD COM S.A.,RED-PEN-B-I-B-50,930,final,2024-02-09,actual,8019.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AQUILA PART PROD COM S.A.,RED-PEN-B-E-B-25,931,final,2024-02-09,actual,5346.00,contract cadru cu diverse servicii de securitate,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1406,final,2026-08-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1407,final,2026-09-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1408,final,2026-10-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1409,final,2026-11-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1410,final,2026-12-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1411,final,2027-01-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1412,final,2027-02-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ART & CRAFT DESIGN SRL,BLUE-MDR-C-6,1413,final,2027-03-05,estimated,400.00,Contract cadru de prestari servicii nr. 335 din 31.3.2025,UPCOMING,Nu,,,,,
ASSET TOKENIZATION SERVICES OU,RED-PEN-S-WB-1,30,final,2021-09-16,estimated,6188.00,199/02.08.2021,PAST_UNMATCHED,Nu,,,,,
SC ASSIST Software SRL,CYBEREDU-DEV-T-1,186,final,2023-02-10,actual,300.00,107/22.03.2022,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1032,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1033,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1034,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1035,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1036,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
AstorMueller AG,BLUE-IR-OC-6,1037,final,2024-08-07,actual,1410.00,No. 290/24.04.2024,PAST_UNMATCHED,Da,TRACKER_SAYS_BILLED_NOT_FOUND,,,,
